id	annotation	C6_chemical_A1	C6_chemical_A3	C6_chemical_B1	C6_chemical_B2	C6_chemical_B3	C6_chemical_C1	C6_chemical_C2	C6_chemical_C3	C6_control_A1	C6_control_A3	C6_control_B1	C6_control_B2	C6_control_B3	C6_control_C1	C6_control_C2	C6_control_C3	L4_chemical_A1	L4_chemical_A2	L4_chemical_A3	L4_chemical_B1	L4_chemical_B2	L4_chemical_B3	L4_chemical_C2	L4_chemical_C3	L4_control_A1	L4_control_A2	L4_control_A3	L4_control_B1	L4_control_B2	L4_control_B3	L4_control_C2	L4_control_C3
LQ08X002070	Predicted protein	11.84699642	12.16696292	11.80518817	11.8302595	12.1407687	12.25675272	12.10627346	12.49804269	12.22019832	11.93758902	12.10837271	11.90593119	12.31356006	12.62554166	11.93191173	12.82810714	12.29330416	12.6530312	12.3999163	12.41741943	12.34925863	12.1108352	12.44162831	13.05958563	12.41514513	12.76672397	12.51521212	12.15199055	12.64097004	12.47630378	12.67072437	13.23916982
LQ08X002080	Predicted protein	11.50538178	11.32546372	12.01692352	12.04820491	11.61980582	13.23498558	13.04034494	12.08381944	11.74062945	11.55184324	11.95909518	12.25976766	12.33613851	13.40191642	13.07496222	12.50278408	11.00053181	11.4078659	11.83263956	11.62855926	11.70715113	11.68708566	12.9293319	12.64897216	11.82372382	12.21071511	12.41903986	12.30343857	12.33952606	12.79505902	13.09142316	12.38307423
LQ08X002100	Putative Cytosolic purine 5-nucleotidase	5.971517986	5.728997352	6.496845922	6.567890632	6.744673278	7.282616103	7.01522322	6.671273127	6.400338219	5.397039884	6.282924512	6.552776289	6.510966564	6.893544162	6.075484199	5.909825199	6.233744606	6.015405837	5.384682741	6.433629259	6.006528724	6.398645676	7.222265103	6.857185511	6.198969899	5.728535673	5.360887916	5.629537908	6.294243294	6.846057637	6.264229757	7.217279507
LQ08X002120	50S ribosomal protein L27	12.18424653	12.39135911	12.00093745	12.10669833	11.65980869	12.0609001	12.38435361	12.08082262	12.55070716	13.15654256	12.13034363	11.97624704	12.0093731	12.09476061	12.37485144	12.14101196	12.4554328	12.57072163	12.29941961	12.46956411	12.32088825	11.87852745	12.77297588	12.47809002	12.67605347	12.94754607	12.5955226	12.09557837	11.69407287	11.78641937	12.64741635	12.38401079
LQ08X002130	Probable LRR receptor-like serine/threonine-protein kinase At2g16250	5.521244793	5.324853266	5.334790771	5.554495832	5.859394493	5.396033269	5.047758442	5.688004718	5.662816221	5.179203358	5.186531638	5.416862951	5.506066541	5.290238343	5.438667427	5.527028989	5.632743082	5.538099608	5.796850661	5.485329881	5.344786818	5.70181801	5.082389282	5.784626346	5.669917517	5.506992509	5.638538835	5.032936112	5.3839354	5.844046633	4.970137189	6.417667353
LQ08X002140	DNA binding protein, putative	7.338900074	9.018736208	6.475020733	6.968866056	6.772494192	9.764970392	9.383308881	10.02566135	8.585342108	11.12284462	7.703135418	7.399536178	7.035325517	10.21362461	9.619506752	9.651267988	10.26017902	7.147060461	9.772518766	6.958517704	7.030476215	6.828486473	9.918185562	7.259272282	11.26169272	9.335733077	10.56737663	6.493254424	6.373047945	6.291491176	9.835543509	9.084600854
LQ08X002150	Putative Maf-like protein DDBG0281937	12.15009393	12.44885853	11.7043984	12.283811	11.67713501	12.34828462	12.16001556	12.45306404	12.42577824	12.53692897	12.06391638	12.32572113	12.10680072	12.61048159	11.84952301	12.72764479	12.87643043	13.17720388	12.34440588	12.93399896	13.07849783	12.61782053	12.63627724	12.56946227	12.69433896	13.31468185	12.7377257	12.90241218	12.19284154	12.34677721	12.42745996	12.5108885
LQ08X002160	3-ketoacyl-CoA synthase 4	12.45083383	12.22304344	12.41127377	11.70554855	12.18456003	13.13699332	12.62432334	12.43068791	12.31259549	12.35576064	12.4038791	12.0295313	12.14069656	13.19101428	12.47034075	12.57819619	13.056013	13.24039443	12.82646567	12.52135338	12.46508949	12.29087263	12.68341202	12.2894157	12.846485	12.86502769	12.97348956	12.26452762	12.70733555	12.26540938	12.67753134	12.96674017
LQ08X002170	Sugar transporter ERD6-like 6	4.867868849	5.451401469	5.260195854	4.672765884	5.517302904	4.995980168	4.836709072	4.905660095	5.161300519	4.947452096	4.875723415	4.875386399	4.631091218	4.832869818	5.174591998	5.150061657	4.858560676	4.963703275	4.837198308	5.187441617	5.01106879	5.010602565	5.35055025	5.513184437	4.674698402	4.956955774	4.772603559	5.001249785	5.120534769	4.950388997	6.076416544	4.885794232
LQ08X002180	DNA-3-methyladenine glycosylase, putative	5.691926561	6.18237624	5.480712657	5.910693966	5.666016306	6.520440223	5.648812048	6.324188246	5.840354287	5.646736998	5.790359002	5.878379488	5.581626021	6.330422818	5.622313015	5.932729564	6.12474452	5.627843423	5.84606544	5.424765912	6.128929365	5.770753641	6.230831387	5.717763969	5.730010283	6.024883343	5.57305328	5.168780163	5.623118204	5.842496791	5.398683178	5.615349544
LQ08X002200	Predicted protein	12.54630305	13.40361725	8.095340051	6.730673609	8.040892313	6.334501315	5.819898601	6.440104519	12.78790239	13.58338563	9.896122693	7.249346721	6.841656653	6.497790174	6.153642265	7.153864341	13.46575585	13.17012975	13.55731619	9.719380999	9.563004296	10.64269061	4.826397345	6.204756122	13.36258096	13.22796621	13.54658919	6.94948092	8.542467194	6.31789248	6.045444052	5.329149751
LQ08X002220	Predicted protein	5.597972886	5.503289674	6.010525432	5.895771836	5.821182358	5.018244799	4.880805961	4.831027335	5.305562676	5.431310054	5.493787844	5.756651783	6.085687429	4.964956213	4.80311401	5.224847321	5.493204219	6.015054504	6.324339855	5.60305033	5.438626052	6.2357991	5.081466084	5.189747847	5.557774478	5.821390698	5.70947908	5.899124648	5.926446296	6.51745136	5.170035868	5.460188994
LQ08X002270	Tubby-like F-box protein 5	11.5977841	12.02135829	11.30651095	11.04663838	11.70101881	8.487151429	8.096240543	8.530429984	12.24801837	12.18849468	11.69147506	11.41765589	12.15116237	8.507495826	8.386629672	8.738141465	11.39526791	11.67545056	12.93790945	11.66817127	12.61732973	11.9839635	9.993870176	9.582799123	12.04881005	12.10711966	13.00237243	12.15573175	12.13521986	11.7122193	9.52409148	9.435722767
LQ08X002290	Predicted protein	5.573132834	5.56771078	6.649170856	7.351212561	6.077424964	5.824553078	6.162112468	5.678287821	5.936328932	5.886455673	6.33854259	7.362091075	6.458310067	6.264721157	6.271570815	5.351359325	5.646576152	5.547794451	5.265647513	5.927419978	6.38805092	6.672251061	5.479479182	5.438780591	5.552530817	5.087070429	5.519615053	6.160576659	6.161569595	7.654795105	4.868868467	5.278017087
LQ08X002300	Isoflavone reductase homolog	5.688694198	5.503811294	5.988505197	5.709187977	5.954076153	6.095275375	5.76342662	5.616893663	6.010493809	5.85454956	5.615208922	5.834842927	6.283457317	5.098696096	6.555400835	5.561878932	5.714752095	5.892773374	5.08632034	5.675421551	5.941072762	5.761318568	5.271799315	5.397019836	5.307260096	5.916243553	5.081115692	5.996181553	5.847414687	6.238241352	5.823771431	5.452061369
LQ08X002330	Putative Uncharacterized protein DDBG0288155	12.95265434	13.00788788	12.73187561	12.45165906	11.98682619	11.95107646	12.32044421	11.7952911	12.95585706	13.03694529	12.87121296	12.84574909	12.0684238	11.95588345	12.24714698	12.01027873	12.90140721	12.96718844	12.15560762	12.97843613	12.76495329	12.51183355	12.39944102	12.27523239	12.91222205	13.06639011	12.16443702	12.65756017	12.79148428	12.06878769	12.44338821	12.12939086
LQ08X002340	Putative Uncharacterized sugar kinase slr0537	9.528383949	9.569315546	9.103437485	7.930105418	8.50993987	8.510047831	8.642385417	8.068565702	9.507832059	9.052982379	9.46917476	7.89594233	8.740902904	8.56313514	7.603164824	7.497719877	9.893594773	10.55538214	9.929923754	11.10185996	10.52869799	9.191412043	10.29214917	9.829149465	9.804669639	10.3288326	10.16374468	10.44156402	10.80290618	8.438849496	10.38683048	10.03058659
LQ08X002350	Proteasome subunit alpha type-1-B	14.35293102	14.59817449	14.13836434	13.27634409	13.804194	13.30331479	13.19469441	12.73016683	14.57294523	14.85326358	14.21810416	13.39726776	13.99193021	13.47755851	13.26015637	12.95268238	14.11334236	13.80645905	14.28510037	14.59816377	13.72993922	13.94895515	13.70409431	13.77873389	14.44547141	14.10015792	14.5037239	14.09651109	14.10452159	13.40937971	13.82958187	14.00562523
LQ08X002360	Putative Predicted protein	6.144507658	5.523970805	5.580167418	5.730608	5.596381184	5.65277571	5.390891118	5.827266518	6.13512693	5.454942079	5.759178061	5.738992384	5.596254017	5.384274255	5.457735129	5.910142578	4.786695373	6.093242539	7.351738272	5.484765539	5.543599896	5.593878853	5.022589256	6.391288771	5.474062566	5.902388795	6.288668367	5.513393207	5.661526372	6.044466595	4.879434721	6.456785519
LQ08X002370	Ornithine carbamoyltransferase, chloroplastic	12.79359974	13.34040211	12.14911638	12.0378824	11.58465739	11.1378466	11.22804748	11.15134482	12.6989827	13.24691683	12.33430877	12.02076728	11.97029613	11.08654105	11.36052015	11.24189077	12.84194783	12.91019344	13.4229808	12.57963684	12.98472175	12.82439761	12.08719163	11.87632964	13.17116903	13.34181039	13.72369366	12.50541355	12.82684753	12.42578291	11.64876682	11.63003961
LQ08X002380	Bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase	12.95867232	13.94688511	10.11568056	7.485364459	7.470550229	8.153452994	7.189522541	7.960035482	12.23930048	12.71623986	10.65500312	8.251261653	7.656206766	8.053212781	7.816270232	7.592673177	13.64430557	13.12621702	14.12257097	12.1883756	11.70191559	11.7940079	8.841198557	8.825887482	14.70434078	13.87535036	13.43440818	9.946104839	11.89182426	7.881791635	8.65681296	7.997151708
